TID;Starttime;Endtime;Activity;Time;Value;FromParticipantId;FromAccountId;ToParticipantId;ToAccountId;Linkcode;SettlementDeadline;T+x
17;2024-03-02 02:48:23;2024-03-02 02:48:23;Waiting in backlog unmatched;2024-03-02 02:48:22;165121487.28;7;6;4;6;1257;2024-03-02;0
18;2024-03-02 02:52:46;2024-03-02 02:52:47;Validating;2024-03-02 02:52:46;172063168.26;4;4;6;4;1118;2024-03-02;0
18;2024-03-02 02:52:47;2024-03-02 02:52:47;Waiting in backlog unmatched;2024-03-02 02:52:46;172063168.26;4;4;6;4;1118;2024-03-02;0
19;2024-03-02 02:52:56;2024-03-02 02:52:57;Validating;2024-03-02 02:52:56;32965025.49;2;0;3;0;1328;2024-03-02;0
19;2024-03-02 02:52:57;2024-03-02 02:52:57;Waiting in backlog unmatched;2024-03-02 02:52:56;32965025.49;2;0;3;0;1328;2024-03-02;0
20;2024-03-02 03:03:02;2024-03-02 03:03:03;Validating;2024-03-02 03:03:02;222165127.95;4;0;8;0;410;2024-03-02;0
20;2024-03-02 03:03:03;2024-03-02 03:03:03;Waiting in backlog unmatched;2024-03-02 03:03:02;222165127.95;4;0;8;0;410;2024-03-02;0
21;2024-03-02 03:18:52;2024-03-02 03:18:53;Validating;2024-03-02 03:18:52;50604545.69;8;0;3;0;1111;2024-03-02;0
21;2024-03-02 03:18:53;2024-03-02 03:18:53;Waiting in backlog unmatched;2024-03-02 03:18:52;50604545.69;8;0;3;0;1111;2024-03-02;0
22;2024-03-02 03:21:19;2024-03-02 03:21:20;Validating;2024-03-02 03:21:19;42808246.33;1;3;8;3;1204;2024-03-02;0
22;2024-03-02 03:21:20;2024-03-02 03:21:20;Waiting in backlog unmatched;2024-03-02 03:21:19;42808246.33;1;3;8;3;1204;2024-03-02;0
23;2024-03-02 03:29:38;2024-03-02 03:29:39;Validating;2024-03-02 03:29:38;67598797.06;8;0;1;0;1195;2024-03-02;0
23;2024-03-02 03:29:39;2024-03-02 03:29:39;Waiting in backlog unmatched;2024-03-02 03:29:38;67598797.06;8;0;1;0;1195;2024-03-02;0
24;2024-03-02 03:32:30;2024-03-02 03:32:31;Validating;2024-03-02 03:32:30;146615619.82;4;5;5;5;1145;2024-03-02;0
24;2024-03-02 03:32:31;2024-03-02 03:32:31;Waiting in backlog unmatched;2024-03-02 03:32:30;146615619.82;4;5;5;5;1145;2024-03-02;0
25;2024-03-02 03:35:26;2024-03-02 03:35:27;Validating;2024-03-02 03:35:26;205816252.55;3;0;4;0;335;2024-03-02;0
25;2024-03-02 03:35:27;2024-03-02 03:35:27;Waiting in backlog unmatched;2024-03-02 03:35:26;205816252.55;3;0;4;0;335;2024-03-02;0
26;2024-03-02 03:38:31;2024-03-02 03:38:32;Validating;2024-03-02 03:38:31;146615619.82;5;0;4;0;1145;2024-03-02;0
24;2024-03-02 03:38:32;2024-03-02 03:38:33;Matching;2024-03-02 03:32:30;146615619.82;4;5;5;5;1145;2024-03-02;0
26;2024-03-02 03:38:32;2024-03-02 03:38:33;Matching;2024-03-02 03:38:31;146615619.82;5;0;4;0;1145;2024-03-02;0
24;2024-03-02 03:38:33;2024-03-02 03:38:34;Positioning;2024-03-02 03:32:30;146615619.82;4;5;5;5;1145;2024-03-02;0
26;2024-03-02 03:38:33;2024-03-02 03:38:34;Positioning;2024-03-02 03:38:31;146615619.82;5;0;4;0;1145;2024-03-02;0
24;2024-03-02 03:38:34;2024-03-02 03:38:34;Settling;2024-03-02 03:32:30;146615619.82;4;5;5;5;1145;2024-03-02;0
26;2024-03-02 03:38:34;2024-03-02 03:38:34;Settling;2024-03-02 03:38:31;146615619.82;5;0;4;0;1145;2024-03-02;0
27;2024-03-02 03:54:49;2024-03-02 03:54:50;Validating;2024-03-02 03:54:49;72261307.4;4;0;1;0;482;2024-03-02;0
27;2024-03-02 03:54:50;2024-03-02 03:54:50;Waiting in backlog unmatched;2024-03-02 03:54:49;72261307.4;4;0;1;0;482;2024-03-02;0
28;2024-03-02 03:58:12;2024-03-02 03:58:13;Validating;2024-03-02 03:58:12;153827716.78;6;0;8;0;651;2024-03-02;0
28;2024-03-02 03:58:13;2024-03-02 03:58:13;Waiting in backlog unmatched;2024-03-02 03:58:12;153827716.78;6;0;8;0;651;2024-03-02;0
29;2024-03-02 04:02:58;2024-03-02 04:02:59;Validating;2024-03-02 04:02:58;59742394.27;7;0;4;0;532;2024-03-02;0
29;2024-03-02 04:02:59;2024-03-02 04:02:59;Waiting in backlog unmatched;2024-03-02 04:02:58;59742394.27;7;0;4;0;532;2024-03-02;0
30;2024-03-02 04:05:29;2024-03-02 04:05:30;Validating;2024-03-02 04:05:29;128317512.75;1;1;3;1;800;2024-03-02;0
30;2024-03-02 04:05:30;2024-03-02 04:05:30;Waiting in backlog unmatched;2024-03-02 04:05:29;128317512.75;1;1;3;1;800;2024-03-02;0
31;2024-03-02 04:06:44;2024-03-02 04:06:45;Validating;2024-03-02 04:06:44;55652138.87;4;7;2;7;1068;2024-03-02;0
31;2024-03-02 04:06:45;2024-03-02 04:06:45;Waiting in backlog unmatched;2024-03-02 04:06:44;55652138.87;4;7;2;7;1068;2024-03-02;0
32;2024-03-02 04:07:39;2024-03-02 04:07:40;Validating;2024-03-02 04:07:39;74609915.44;3;8;2;8;637;2024-03-02;0
32;2024-03-02 04:07:40;2024-03-02 04:07:40;Waiting in backlog unmatched;2024-03-02 04:07:39;74609915.44;3;8;2;8;637;2024-03-02;0
33;2024-03-02 04:26:28;2024-03-02 04:26:29;Validating;2024-03-02 04:26:28;110029742.08;3;0;4;0;130;2024-03-02;0
33;2024-03-02 04:26:29;2024-03-02 04:26:29;Waiting in backlog unmatched;2024-03-02 04:26:28;110029742.08;3;0;4;0;130;2024-03-02;0
34;2024-03-02 04:35:12;2024-03-02 04:35:13;Validating;2024-03-02 04:35:12;242237021.01;4;0;8;0;902;2024-03-02;0
34;2024-03-02 04:35:13;2024-03-02 04:35:13;Waiting in backlog unmatched;2024-03-02 04:35:12;242237021.01;4;0;8;0;902;2024-03-02;0
35;2024-03-02 04:35:51;2024-03-02 04:35:52;Validating;2024-03-02 04:35:51;167818954.6;4;7;1;7;513;2024-03-02;0
35;2024-03-02 04:35:52;2024-03-02 04:35:52;Waiting in backlog unmatched;2024-03-02 04:35:51;167818954.6;4;7;1;7;513;2024-03-02;0
36;2024-03-02 04:41:56;2024-03-02 04:41:57;Validating;2024-03-02 04:41:56;243455593.31;7;8;4;8;272;2024-03-02;0
36;2024-03-02 04:41:57;2024-03-02 04:41:57;Waiting in backlog unmatched;2024-03-02 04:41:56;243455593.31;7;8;4;8;272;2024-03-02;0
37;2024-03-02 04:44:19;2024-03-02 04:44:20;Validating;2024-03-02 04:44:19;55343982.25;8;0;7;0;309;2024-03-02;0
8;2024-03-02 04:44:20;2024-03-02 04:44:21;Matching;2024-03-02 01:52:41;55343982.25;7;8;8;8;309;2024-03-02;0
37;2024-03-02 04:44:20;2024-03-02 04:44:21;Matching;2024-03-02 04:44:19;55343982.25;8;0;7;0;309;2024-03-02;0
8;2024-03-02 04:44:21;2024-03-02 04:44:22;Positioning;2024-03-02 01:52:41;55343982.25;7;8;8;8;309;2024-03-02;0
37;2024-03-02 04:44:21;2024-03-02 04:44:22;Positioning;2024-03-02 04:44:19;55343982.25;8;0;7;0;309;2024-03-02;0
8;2024-03-02 04:44:22;2024-03-02 04:44:22;Settling;2024-03-02 01:52:41;55343982.25;7;8;8;8;309;2024-03-02;0
37;2024-03-02 04:44:22;2024-03-02 04:44:22;Settling;2024-03-02 04:44:19;55343982.25;8;0;7;0;309;2024-03-02;0
38;2024-03-02 04:49:48;2024-03-02 04:49:49;Validating;2024-03-02 04:49:48;200871902.43;2;2;4;2;650;2024-03-02;0
38;2024-03-02 04:49:49;2024-03-02 04:49:49;Waiting in backlog unmatched;2024-03-02 04:49:48;200871902.43;2;2;4;2;650;2024-03-02;0
39;2024-03-02 05:10:02;2024-03-02 05:10:03;Validating;2024-03-02 05:10:02;69499386.85;2;0;8;0;977;2024-03-02;0
39;2024-03-02 05:10:03;2024-03-02 05:10:03;Waiting in backlog unmatched;2024-03-02 05:10:02;69499386.85;2;0;8;0;977;2024-03-02;0
40;2024-03-02 05:10:38;2024-03-02 05:10:39;Validating;2024-03-02 05:10:38;112017722.17;3;0;7;0;1346;2024-03-02;0
40;2024-03-02 05:10:39;2024-03-02 05:10:39;Waiting in backlog unmatched;2024-03-02 05:10:38;112017722.17;3;0;7;0;1346;2024-03-02;0
41;2024-03-02 05:20:10;2024-03-02 05:20:11;Validating;2024-03-02 05:20:10;217097946.96;5;0;4;0;1044;2024-03-02;0
41;2024-03-02 05:20:11;2024-03-02 05:20:11;Waiting in backlog unmatched;2024-03-02 05:20:10;217097946.96;5;0;4;0;1044;2024-03-02;0
42;2024-03-02 05:22:34;2024-03-02 05:22:35;Validating;2024-03-02 05:22:34;139168844.37;6;7;1;7;1110;2024-03-02;0
42;2024-03-02 05:22:35;2024-03-02 05:22:35;Waiting in backlog unmatched;2024-03-02 05:22:34;139168844.37;6;7;1;7;1110;2024-03-02;0
43;2024-03-02 05:25:36;2024-03-02 05:25:37;Validating;2024-03-02 05:25:36;101112480.68;4;0;5;0;1362;2024-03-02;0
43;2024-03-02 05:25:37;2024-03-02 05:25:37;Waiting in backlog unmatched;2024-03-02 05:25:36;101112480.68;4;0;5;0;1362;2024-03-02;0
44;2024-03-02 05:26:48;2024-03-02 05:26:49;Validating;2024-03-02 05:26:48;65097748.48;2;1;8;1;933;2024-03-02;0
44;2024-03-02 05:26:49;2024-03-02 05:26:49;Waiting in backlog unmatched;2024-03-02 05:26:48;65097748.48;2;1;8;1;933;2024-03-02;0
45;2024-03-02 05:27:41;2024-03-02 05:27:42;Validating;2024-03-02 05:27:41;63130502.61;2;0;4;0;128;2024-03-02;0
45;2024-03-02 05:27:42;2024-03-02 05:27:42;Waiting in backlog unmatched;2024-03-02 05:27:41;63130502.61;2;0;4;0;128;2024-03-02;0
46;2024-03-02 05:27:48;2024-03-02 05:27:49;Validating;2024-03-02 05:27:48;151999915.15;2;0;6;0;1289;2024-03-02;0
46;2024-03-02 05:27:49;2024-03-02 05:27:49;Waiting in backlog unmatched;2024-03-02 05:27:48;151999915.15;2;0;6;0;1289;2024-03-02;0
47;2024-03-02 05:32:55;2024-03-02 05:32:56;Validating;2024-03-02 05:32:55;87052577.53;1;1;6;1;860;2024-03-02;0
47;2024-03-02 05:32:56;2024-03-02 05:32:56;Waiting in backlog unmatched;2024-03-02 05:32:55;87052577.53;1;1;6;1;860;2024-03-02;0
48;2024-03-02 05:44:26;2024-03-02 05:44:27;Validating;2024-03-02 05:44:26;83412906.12;7;7;2;7;72;2024-03-02;0
48;2024-03-02 05:44:27;2024-03-02 05:44:27;Waiting in backlog unmatched;2024-03-02 05:44:26;83412906.12;7;7;2;7;72;2024-03-02;0
49;2024-03-02 05:44:44;2024-03-02 05:44:45;Validating;2024-03-02 05:44:44;89780765.92;4;7;7;7;720;2024-03-02;0
49;2024-03-02 05:44:45;2024-03-02 05:44:45;Waiting in backlog unmatched;2024-03-02 05:44:44;89780765.92;4;7;7;7;720;2024-03-02;0
50;2024-03-02 05:53:06;2024-03-02 05:53:07;Validating;2024-03-02 05:53:06;130883274.95;6;0;4;0;1482;2024-03-02;0
50;2024-03-02 05:53:07;2024-03-02 05:53:07;Waiting in backlog unmatched;2024-03-02 05:53:06;130883274.95;6;0;4;0;1482;2024-03-02;0
51;2024-03-02 05:55:46;2024-03-02 05:55:47;Validating;2024-03-02 05:55:46;132831192.79;4;1;5;1;453;2024-03-02;0
51;2024-03-02 05:55:47;2024-03-02 05:55:47;Waiting in backlog unmatched;2024-03-02 05:55:46;132831192.79;4;1;5;1;453;2024-03-02;0
52;2024-03-02 06:02:48;2024-03-02 06:02:49;Validating;2024-03-02 06:02:48;54017680.88;3;0;5;0;805;2024-03-02;0
52;2024-03-02 06:02:49;2024-03-02 06:02:49;Waiting in backlog unmatched;2024-03-02 06:02:48;54017680.88;3;0;5;0;805;2024-03-02;0
53;2024-03-02 06:12:30;2024-03-02 06:12:31;Validating;2024-03-02 06:12:30;18357530.82;6;4;8;4;956;2024-03-02;0
53;2024-03-02 06:12:31;2024-03-02 06:12:31;Waiting in backlog unmatched;2024-03-02 06:12:30;18357530.82;6;4;8;4;956;2024-03-02;0
54;2024-03-02 06:12:36;2024-03-02 06:12:37;Validating;2024-03-02 06:12:36;114583563.78;1;0;4;0;110;2024-03-02;0
14;2024-03-02 06:12:37;2024-03-02 06:12:38;Matching;2024-03-02 02:28:13;114583563.78;4;3;1;3;110;2024-03-02;0
54;2024-03-02 06:12:37;2024-03-02 06:12:38;Matching;2024-03-02 06:12:36;114583563.78;1;0;4;0;110;2024-03-02;0
14;2024-03-02 06:12:38;2024-03-02 06:12:39;Positioning;2024-03-02 02:28:13;114583563.78;4;3;1;3;110;2024-03-02;0
54;2024-03-02 06:12:38;2024-03-02 06:12:39;Positioning;2024-03-02 06:12:36;114583563.78;1;0;4;0;110;2024-03-02;0
14;2024-03-02 06:12:39;2024-03-02 06:12:39;Settling;2024-03-02 02:28:13;114583563.78;4;3;1;3;110;2024-03-02;0
54;2024-03-02 06:12:39;2024-03-02 06:12:39;Settling;2024-03-02 06:12:36;114583563.78;1;0;4;0;110;2024-03-02;0
55;2024-03-02 06:15:53;2024-03-02 06:15:54;Validating;2024-03-02 06:15:53;168161990.82;3;8;4;8;1125;2024-03-02;0
55;2024-03-02 06:15:54;2024-03-02 06:15:54;Waiting in backlog unmatched;2024-03-02 06:15:53;168161990.82;3;8;4;8;1125;2024-03-02;0
56;2024-03-02 06:16:56;2024-03-02 06:16:57;Validating;2024-03-02 06:16:56;20425594.71;2;6;8;6;1454;2024-03-02;0
56;2024-03-02 06:16:57;2024-03-02 06:16:57;Waiting in backlog unmatched;2024-03-02 06:16:56;20425594.71;2;6;8;6;1454;2024-03-02;0
57;2024-03-02 06:22:49;2024-03-02 06:22:50;Validating;2024-03-02 06:22:49;191277976.26;4;0;8;0;75;2024-03-02;0
57;2024-03-02 06:22:50;2024-03-02 06:22:50;Waiting in backlog unmatched;2024-03-02 06:22:49;191277976.26;4;0;8;0;75;2024-03-02;0
58;2024-03-02 06:23:11;2024-03-02 06:23:12;Validating;2024-03-02 06:23:11;29833073.71;3;8;8;8;291;2024-03-02;0
11;2024-03-02 06:23:12;2024-03-02 06:23:13;Matching;2024-03-02 02:02:35;29833073.71;8;0;3;0;291;2024-03-02;0
58;2024-03-02 06:23:12;2024-03-02 06:23:13;Matching;2024-03-02 06:23:11;29833073.71;3;8;8;8;291;2024-03-02;0
11;2024-03-02 06:23:13;2024-03-02 06:23:14;Positioning;2024-03-02 02:02:35;29833073.71;8;0;3;0;291;2024-03-02;0
58;2024-03-02 06:23:13;2024-03-02 06:23:14;Positioning;2024-03-02 06:23:11;29833073.71;3;8;8;8;291;2024-03-02;0
11;2024-03-02 06:23:14;2024-03-02 06:23:14;Settling;2024-03-02 02:02:35;29833073.71;8;0;3;0;291;2024-03-02;0
58;2024-03-02 06:23:14;2024-03-02 06:23:14;Settling;2024-03-02 06:23:11;29833073.71;3;8;8;8;291;2024-03-02;0
59;2024-03-02 06:27:01;2024-03-02 06:27:02;Validating;2024-03-02 06:27:01;44591357.59;7;4;8;4;1155;2024-03-02;0
59;2024-03-02 06:27:02;2024-03-02 06:27:02;Waiting in backlog unmatched;2024-03-02 06:27:01;44591357.59;7;4;8;4;1155;2024-03-02;0
60;2024-03-02 06:38:21;2024-03-02 06:38:22;Validating;2024-03-02 06:38:21;117111213.44;6;6;5;6;1294;2024-03-02;0
60;2024-03-02 06:38:22;2024-03-02 06:38:22;Waiting in backlog unmatched;2024-03-02 06:38:21;117111213.44;6;6;5;6;1294;2024-03-02;0
61;2024-03-02 06:44:45;2024-03-02 06:44:46;Validating;2024-03-02 06:44:45;117111213.44;5;0;6;0;1294;2024-03-02;0
60;2024-03-02 06:44:46;2024-03-02 06:44:47;Matching;2024-03-02 06:38:21;117111213.44;6;6;5;6;1294;2024-03-02;0
61;2024-03-02 06:44:46;2024-03-02 06:44:47;Matching;2024-03-02 06:44:45;117111213.44;5;0;6;0;1294;2024-03-02;0
60;2024-03-02 06:44:47;2024-03-02 06:44:48;Positioning;2024-03-02 06:38:21;117111213.44;6;6;5;6;1294;2024-03-02;0
61;2024-03-02 06:44:47;2024-03-02 06:44:48;Positioning;2024-03-02 06:44:45;117111213.44;5;0;6;0;1294;2024-03-02;0
60;2024-03-02 06:44:48;2024-03-02 06:44:48;Settling;2024-03-02 06:38:21;117111213.44;6;6;5;6;1294;2024-03-02;0
61;2024-03-02 06:44:48;2024-03-02 06:44:48;Settling;2024-03-02 06:44:45;117111213.44;5;0;6;0;1294;2024-03-02;0
62;2024-03-02 07:06:08;2024-03-02 07:06:09;Validating;2024-03-02 07:06:08;165121487.28;4;0;7;0;1257;2024-03-02;0
17;2024-03-02 07:06:09;2024-03-02 07:06:10;Matching;2024-03-02 02:48:22;165121487.28;7;6;4;6;1257;2024-03-02;0
62;2024-03-02 07:06:09;2024-03-02 07:06:10;Matching;2024-03-02 07:06:08;165121487.28;4;0;7;0;1257;2024-03-02;0
17;2024-03-02 07:06:10;2024-03-02 07:06:11;Positioning;2024-03-02 02:48:22;165121487.28;7;6;4;6;1257;2024-03-02;0
62;2024-03-02 07:06:10;2024-03-02 07:06:11;Positioning;2024-03-02 07:06:08;165121487.28;4;0;7;0;1257;2024-03-02;0
17;2024-03-02 07:06:11;2024-03-02 07:06:11;Settling;2024-03-02 02:48:22;165121487.28;7;6;4;6;1257;2024-03-02;0
62;2024-03-02 07:06:11;2024-03-02 07:06:11;Settling;2024-03-02 07:06:08;165121487.28;4;0;7;0;1257;2024-03-02;0
63;2024-03-02 07:09:51;2024-03-02 07:09:52;Validating;2024-03-02 07:09:51;87052577.53;6;0;1;0;860;2024-03-02;0
47;2024-03-02 07:09:52;2024-03-02 07:09:53;Matching;2024-03-02 05:32:55;87052577.53;1;1;6;1;860;2024-03-02;0
63;2024-03-02 07:09:52;2024-03-02 07:09:53;Matching;2024-03-02 07:09:51;87052577.53;6;0;1;0;860;2024-03-02;0
47;2024-03-02 07:09:53;2024-03-02 07:09:54;Positioning;2024-03-02 05:32:55;87052577.53;1;1;6;1;860;2024-03-02;0
63;2024-03-02 07:09:53;2024-03-02 07:09:54;Positioning;2024-03-02 07:09:51;87052577.53;6;0;1;0;860;2024-03-02;0
47;2024-03-02 07:09:54;2024-03-02 07:09:54;Settling;2024-03-02 05:32:55;87052577.53;1;1;6;1;860;2024-03-02;0
63;2024-03-02 07:09:54;2024-03-02 07:09:54;Settling;2024-03-02 07:09:51;87052577.53;6;0;1;0;860;2024-03-02;0
64;2024-03-02 07:10:00;2024-03-02 07:10:01;Validating;2024-03-02 07:10:00;230592808.78;2;8;1;8;290;2024-03-02;0
64;2024-03-02 07:10:01;2024-03-02 07:10:01;Waiting in backlog unmatched;2024-03-02 07:10:00;230592808.78;2;8;1;8;290;2024-03-02;0
65;2024-03-02 07:14:41;2024-03-02 07:14:42;Validating;2024-03-02 07:14:41;132831192.79;5;0;4;0;453;2024-03-02;0
51;2024-03-02 07:14:42;2024-03-02 07:14:43;Matching;2024-03-02 05:55:46;132831192.79;4;1;5;1;453;2024-03-02;0
65;2024-03-02 07:14:42;2024-03-02 07:14:43;Matching;2024-03-02 07:14:41;132831192.79;5;0;4;0;453;2024-03-02;0
51;2024-03-02 07:14:43;2024-03-02 07:14:44;Positioning;2024-03-02 05:55:46;132831192.79;4;1;5;1;453;2024-03-02;0
65;2024-03-02 07:14:43;2024-03-02 07:14:44;Positioning;2024-03-02 07:14:41;132831192.79;5;0;4;0;453;2024-03-02;0
51;2024-03-02 07:14:44;2024-03-02 07:14:44;Settling;2024-03-02 05:55:46;132831192.79;4;1;5;1;453;2024-03-02;0
65;2024-03-02 07:14:44;2024-03-02 07:14:44;Settling;2024-03-02 07:14:41;132831192.79;5;0;4;0;453;2024-03-02;0
66;2024-03-02 07:15:22;2024-03-02 07:15:23;Validating;2024-03-02 07:15:22;67858876.83;6;1;8;1;271;2024-03-02;0
66;2024-03-02 07:15:23;2024-03-02 07:15:23;Waiting in backlog unmatched;2024-03-02 07:15:22;67858876.83;6;1;8;1;271;2024-03-02;0
67;2024-03-02 07:21:08;2024-03-02 07:21:09;Validating;2024-03-02 07:21:08;156341848.13;3;1;2;1;957;2024-03-02;0
67;2024-03-02 07:21:09;2024-03-02 07:21:09;Waiting in backlog unmatched;2024-03-02 07:21:08;156341848.13;3;1;2;1;957;2024-03-02;0
68;2024-03-02 07:27:46;2024-03-02 07:27:47;Validating;2024-03-02 07:27:46;193608067.02;4;3;3;3;1041;2024-03-02;0
68;2024-03-02 07:27:47;2024-03-02 07:27:47;Waiting in backlog unmatched;2024-03-02 07:27:46;193608067.02;4;3;3;3;1041;2024-03-02;0
69;2024-03-02 07:29:16;2024-03-02 07:29:17;Validating;2024-03-02 07:29:16;160301769.07;1;0;8;0;713;2024-03-02;0
69;2024-03-02 07:29:17;2024-03-02 07:29:17;Waiting in backlog unmatched;2024-03-02 07:29:16;160301769.07;1;0;8;0;713;2024-03-02;0
70;2024-03-02 07:30:01;2024-03-02 07:30:02;Validating;2024-03-02 07:30:01;89215008.96;5;1;1;1;1037;2024-03-02;0
15;2024-03-02 07:30:02;2024-03-02 07:30:03;Matching;2024-03-02 02:41:17;89215008.96;1;0;5;0;1037;2024-03-02;0
70;2024-03-02 07:30:02;2024-03-02 07:30:03;Matching;2024-03-02 07:30:01;89215008.96;5;1;1;1;1037;2024-03-02;0
15;2024-03-02 07:30:03;2024-03-02 07:30:04;Positioning;2024-03-02 02:41:17;89215008.96;1;0;5;0;1037;2024-03-02;0
70;2024-03-02 07:30:03;2024-03-02 07:30:04;Positioning;2024-03-02 07:30:01;89215008.96;5;1;1;1;1037;2024-03-02;0
15;2024-03-02 07:30:04;2024-03-02 07:30:04;Settling;2024-03-02 02:41:17;89215008.96;1;0;5;0;1037;2024-03-02;0
70;2024-03-02 07:30:04;2024-03-02 07:30:04;Settling;2024-03-02 07:30:01;89215008.96;5;1;1;1;1037;2024-03-02;0
71;2024-03-02 07:34:14;2024-03-02 07:34:15;Validating;2024-03-02 07:34:14;72261307.4;1;5;4;5;482;2024-03-02;0
27;2024-03-02 07:34:15;2024-03-02 07:34:16;Matching;2024-03-02 03:54:49;72261307.4;4;0;1;0;482;2024-03-02;0
71;2024-03-02 07:34:15;2024-03-02 07:34:16;Matching;2024-03-02 07:34:14;72261307.4;1;5;4;5;482;2024-03-02;0
