TID,Starttime,Endtime,Activity,Time,Value,FromParticipantId,FromAccountId,ToParticipantId,ToAccountId,Linkcode,Part ID,Account ID,Balance,Credit limit
20,2024-01-01 01:18:57,2024-01-01 01:18:57,Waiting in queue received,2024-01-01 01:18:55,75137565.4,5,0,6,0,1037,5,0,1697498461.28,1555016912.88
21,2024-01-01 01:23:42,2024-01-01 01:23:44,Validating,2024-01-01 01:23:42,69512565.82,8,0,7,0,462,8,0,1171046846.05,662326857.64
21,2024-01-01 01:23:44,2024-01-01 01:23:44,Waiting in queue received,2024-01-01 01:23:42,69512565.82,8,0,7,0,462,8,0,1171046846.05,662326857.64
1,2024-01-01 01:30:00,2024-01-01 01:30:00,Waiting in queue unmatched,2024-01-01 00:13:01,70834326.88,8,1,4,1,881,8,1,1604424976.0,0.0
2,2024-01-01 01:30:00,2024-01-01 01:30:00,Waiting in queue unmatched,2024-01-01 00:18:34,22902922.97,8,0,7,0,53,8,0,1171046846.05,662326857.64
3,2024-01-01 01:30:00,2024-01-01 01:30:00,Waiting in queue unmatched,2024-01-01 00:22:23,30561682.0,6,0,8,0,1236,6,0,1159834611.39,1079250390.17
4,2024-01-01 01:30:00,2024-01-01 01:30:00,Waiting in queue unmatched,2024-01-01 00:24:34,7787959.1,1,0,3,0,1104,1,0,1345216711.35,855892148.96
5,2024-01-01 01:30:00,2024-01-01 01:30:00,Waiting in queue unmatched,2024-01-01 00:25:43,105763515.5,7,2,5,2,403,7,2,506751021.0,0.0
6,2024-01-01 01:30:00,2024-01-01 01:30:00,Waiting in queue unmatched,2024-01-01 00:32:53,31251466.08,4,3,5,3,1210,4,3,1280555961.0,0.0
7,2024-01-01 01:30:00,2024-01-01 01:30:00,Waiting in queue unmatched,2024-01-01 00:40:42,48346675.72,5,1,1,1,995,5,1,269842169.0,0.0
8,2024-01-01 01:30:00,2024-01-01 01:30:00,Waiting in queue unmatched,2024-01-01 00:44:37,148248755.92,4,0,6,0,467,4,0,1623321432.42,501595076.99
9,2024-01-01 01:30:00,2024-01-01 01:30:00,Waiting in queue unmatched,2024-01-01 00:47:10,54056009.55,7,0,3,0,100,7,0,908925801.56,880714929.78
10,2024-01-01 01:30:00,2024-01-01 01:30:00,Waiting in queue unmatched,2024-01-01 00:47:48,80074806.58,1,4,7,4,1029,1,4,6110169996.0,0.0
11,2024-01-01 01:30:00,2024-01-01 01:30:00,Waiting in queue unmatched,2024-01-01 00:48:56,48598900.65,8,0,7,0,457,8,0,1171046846.05,662326857.64
12,2024-01-01 01:30:00,2024-01-01 01:30:00,Waiting in queue unmatched,2024-01-01 00:53:53,66675003.66,4,0,2,0,996,4,0,1623321432.42,501595076.99
13,2024-01-01 01:30:00,2024-01-01 01:30:00,Waiting in queue unmatched,2024-01-01 00:58:36,29132416.87,5,3,4,3,437,5,3,3694452865.0,0.0
14,2024-01-01 01:30:00,2024-01-01 01:30:00,Waiting in queue unmatched,2024-01-01 01:00:01,49046560.32,8,0,6,0,803,8,0,1171046846.05,662326857.64
15,2024-01-01 01:30:00,2024-01-01 01:30:00,Waiting in queue unmatched,2024-01-01 01:02:14,31362411.29,1,0,2,0,288,1,0,1345216711.35,855892148.96
16,2024-01-01 01:30:00,2024-01-01 01:30:00,Waiting in queue unmatched,2024-01-01 01:03:27,59379742.41,4,2,1,2,216,4,2,3113964820.0,0.0
17,2024-01-01 01:30:00,2024-01-01 01:30:00,Waiting in queue unmatched,2024-01-01 01:09:27,113758624.35,8,2,6,2,629,8,2,6471538475.0,0.0
18,2024-01-01 01:30:00,2024-01-01 01:30:00,Waiting in queue unmatched,2024-01-01 01:15:10,70105500.4,2,1,1,1,257,2,1,7922723790.0,0.0
19,2024-01-01 01:30:00,2024-01-01 01:30:00,Waiting in queue unmatched,2024-01-01 01:18:43,126632033.13,5,0,6,0,679,5,0,1697498461.28,1555016912.88
20,2024-01-01 01:30:00,2024-01-01 01:30:00,Waiting in queue unmatched,2024-01-01 01:18:55,75137565.4,5,0,6,0,1037,5,0,1697498461.28,1555016912.88
21,2024-01-01 01:30:00,2024-01-01 01:30:00,Waiting in queue unmatched,2024-01-01 01:23:42,69512565.82,8,0,7,0,462,8,0,1171046846.05,662326857.64
22,2024-01-01 01:30:06,2024-01-01 01:30:08,Validating,2024-01-01 01:30:06,31749390.63,1,3,3,3,446,1,3,4207091960.0,0.0
22,2024-01-01 01:30:08,2024-01-01 01:30:08,Waiting in queue unmatched,2024-01-01 01:30:06,31749390.63,1,3,3,3,446,1,3,4207091960.0,0.0
23,2024-01-01 01:30:28,2024-01-01 01:30:30,Validating,2024-01-01 01:30:28,57228641.85,8,1,1,1,1164,8,1,1604424976.0,0.0
23,2024-01-01 01:30:30,2024-01-01 01:30:30,Waiting in queue unmatched,2024-01-01 01:30:28,57228641.85,8,1,1,1,1164,8,1,1604424976.0,0.0
24,2024-01-01 01:31:25,2024-01-01 01:31:27,Validating,2024-01-01 01:31:25,25153183.91,1,0,8,0,635,1,0,1345216711.35,855892148.96
24,2024-01-01 01:31:27,2024-01-01 01:31:27,Waiting in queue unmatched,2024-01-01 01:31:25,25153183.91,1,0,8,0,635,1,0,1345216711.35,855892148.96
25,2024-01-01 01:31:49,2024-01-01 01:31:51,Validating,2024-01-01 01:31:49,69434853.62,7,1,2,1,237,7,1,4397910367.0,0.0
25,2024-01-01 01:31:51,2024-01-01 01:31:51,Waiting in queue unmatched,2024-01-01 01:31:49,69434853.62,7,1,2,1,237,7,1,4397910367.0,0.0
26,2024-01-01 01:32:01,2024-01-01 01:32:03,Validating,2024-01-01 01:32:01,75722461.46,2,3,5,3,811,2,3,6451401027.0,0.0
26,2024-01-01 01:32:03,2024-01-01 01:32:03,Waiting in queue unmatched,2024-01-01 01:32:01,75722461.46,2,3,5,3,811,2,3,6451401027.0,0.0
27,2024-01-01 01:32:16,2024-01-01 01:32:18,Validating,2024-01-01 01:32:16,75259325.28,5,2,3,2,586,5,2,9435209247.0,0.0
27,2024-01-01 01:32:18,2024-01-01 01:32:18,Waiting in queue unmatched,2024-01-01 01:32:16,75259325.28,5,2,3,2,586,5,2,9435209247.0,0.0
28,2024-01-01 01:32:44,2024-01-01 01:32:46,Validating,2024-01-01 01:32:44,37846398.38,8,0,3,0,36,8,0,1171046846.05,662326857.64
28,2024-01-01 01:32:46,2024-01-01 01:32:46,Waiting in queue unmatched,2024-01-01 01:32:44,37846398.38,8,0,3,0,36,8,0,1171046846.05,662326857.64
29,2024-01-01 01:33:19,2024-01-01 01:33:21,Validating,2024-01-01 01:33:19,56920994.55,7,0,5,0,1041,7,0,908925801.56,880714929.78
29,2024-01-01 01:33:21,2024-01-01 01:33:21,Waiting in queue unmatched,2024-01-01 01:33:19,56920994.55,7,0,5,0,1041,7,0,908925801.56,880714929.78
30,2024-01-01 01:33:21,2024-01-01 01:33:23,Validating,2024-01-01 01:33:21,20743383.7,2,0,4,0,1007,2,0,1177670027.13,334479616.6
30,2024-01-01 01:33:23,2024-01-01 01:33:23,Waiting in queue unmatched,2024-01-01 01:33:21,20743383.7,2,0,4,0,1007,2,0,1177670027.13,334479616.6
31,2024-01-01 01:34:03,2024-01-01 01:34:05,Validating,2024-01-01 01:34:03,32428689.11,1,2,4,2,1065,1,2,2512371753.0,0.0
31,2024-01-01 01:34:05,2024-01-01 01:34:05,Waiting in queue unmatched,2024-01-01 01:34:03,32428689.11,1,2,4,2,1065,1,2,2512371753.0,0.0
32,2024-01-01 01:34:20,2024-01-01 01:34:22,Validating,2024-01-01 01:34:20,5962589.66,7,0,3,0,592,7,0,908925801.56,880714929.78
32,2024-01-01 01:34:22,2024-01-01 01:34:22,Waiting in queue unmatched,2024-01-01 01:34:20,5962589.66,7,0,3,0,592,7,0,908925801.56,880714929.78
33,2024-01-01 01:34:46,2024-01-01 01:34:48,Validating,2024-01-01 01:34:46,27329819.1,8,0,4,0,180,8,0,1171046846.05,662326857.64
33,2024-01-01 01:34:48,2024-01-01 01:34:48,Waiting in queue unmatched,2024-01-01 01:34:46,27329819.1,8,0,4,0,180,8,0,1171046846.05,662326857.64
34,2024-01-01 01:35:10,2024-01-01 01:35:12,Validating,2024-01-01 01:35:10,94496121.82,7,4,2,4,986,7,4,1840393648.0,0.0
34,2024-01-01 01:35:12,2024-01-01 01:35:12,Waiting in queue unmatched,2024-01-01 01:35:10,94496121.82,7,4,2,4,986,7,4,1840393648.0,0.0
35,2024-01-01 01:35:36,2024-01-01 01:35:38,Validating,2024-01-01 01:35:36,44867246.22,3,0,6,0,131,3,0,1195841093.11,425930683.98
35,2024-01-01 01:35:38,2024-01-01 01:35:38,Waiting in queue unmatched,2024-01-01 01:35:36,44867246.22,3,0,6,0,131,3,0,1195841093.11,425930683.98
36,2024-01-01 01:35:54,2024-01-01 01:35:56,Validating,2024-01-01 01:35:54,66300722.21,7,2,3,2,736,7,2,506751021.0,0.0
36,2024-01-01 01:35:56,2024-01-01 01:35:56,Waiting in queue unmatched,2024-01-01 01:35:54,66300722.21,7,2,3,2,736,7,2,506751021.0,0.0
37,2024-01-01 01:35:58,2024-01-01 01:36:00,Validating,2024-01-01 01:35:58,94521117.12,8,0,2,0,129,8,0,1171046846.05,662326857.64
37,2024-01-01 01:36:00,2024-01-01 01:36:00,Waiting in queue unmatched,2024-01-01 01:35:58,94521117.12,8,0,2,0,129,8,0,1171046846.05,662326857.64
38,2024-01-01 01:36:01,2024-01-01 01:36:03,Validating,2024-01-01 01:36:01,132065823.02,8,3,5,3,834,8,3,3115152002.0,0.0
38,2024-01-01 01:36:03,2024-01-01 01:36:03,Waiting in queue unmatched,2024-01-01 01:36:01,132065823.02,8,3,5,3,834,8,3,3115152002.0,0.0
39,2024-01-01 01:36:03,2024-01-01 01:36:05,Validating,2024-01-01 01:36:03,84913208.31,4,0,5,0,1145,4,0,1623321432.42,501595076.99
39,2024-01-01 01:36:05,2024-01-01 01:36:05,Waiting in queue unmatched,2024-01-01 01:36:03,84913208.31,4,0,5,0,1145,4,0,1623321432.42,501595076.99
40,2024-01-01 01:36:19,2024-01-01 01:36:21,Validating,2024-01-01 01:36:19,105426847.61,6,0,4,0,272,6,0,1159834611.39,1079250390.17
40,2024-01-01 01:36:21,2024-01-01 01:36:21,Waiting in queue unmatched,2024-01-01 01:36:19,105426847.61,6,0,4,0,272,6,0,1159834611.39,1079250390.17
41,2024-01-01 01:36:31,2024-01-01 01:36:33,Validating,2024-01-01 01:36:31,71618871.29,7,0,4,0,52,7,0,908925801.56,880714929.78
41,2024-01-01 01:36:33,2024-01-01 01:36:33,Waiting in queue unmatched,2024-01-01 01:36:31,71618871.29,7,0,4,0,52,7,0,908925801.56,880714929.78
42,2024-01-01 01:37:11,2024-01-01 01:37:13,Validating,2024-01-01 01:37:11,132552431.76,1,0,5,0,253,1,0,1345216711.35,855892148.96
42,2024-01-01 01:37:13,2024-01-01 01:37:13,Waiting in queue unmatched,2024-01-01 01:37:11,132552431.76,1,0,5,0,253,1,0,1345216711.35,855892148.96
43,2024-01-01 01:37:50,2024-01-01 01:37:52,Validating,2024-01-01 01:37:50,89164814.75,3,4,8,4,775,3,4,6731623304.0,0.0
43,2024-01-01 01:37:52,2024-01-01 01:37:52,Waiting in queue unmatched,2024-01-01 01:37:50,89164814.75,3,4,8,4,775,3,4,6731623304.0,0.0
44,2024-01-01 01:37:59,2024-01-01 01:38:01,Validating,2024-01-01 01:37:59,94107899.74,1,0,2,0,654,1,0,1345216711.35,855892148.96
44,2024-01-01 01:38:01,2024-01-01 01:38:01,Waiting in queue unmatched,2024-01-01 01:37:59,94107899.74,1,0,2,0,654,1,0,1345216711.35,855892148.96
45,2024-01-01 01:38:00,2024-01-01 01:38:02,Validating,2024-01-01 01:38:00,35872613.41,8,0,2,0,1170,8,0,1171046846.05,662326857.64
45,2024-01-01 01:38:02,2024-01-01 01:38:02,Waiting in queue unmatched,2024-01-01 01:38:00,35872613.41,8,0,2,0,1170,8,0,1171046846.05,662326857.64
46,2024-01-01 01:38:20,2024-01-01 01:38:22,Validating,2024-01-01 01:38:20,91659480.43,2,2,8,2,1002,2,2,6562439850.0,0.0
46,2024-01-01 01:38:22,2024-01-01 01:38:22,Waiting in queue unmatched,2024-01-01 01:38:20,91659480.43,2,2,8,2,1002,2,2,6562439850.0,0.0
47,2024-01-01 01:38:22,2024-01-01 01:38:24,Validating,2024-01-01 01:38:22,115680937.5,4,0,6,0,947,4,0,1623321432.42,501595076.99
47,2024-01-01 01:38:24,2024-01-01 01:38:24,Waiting in queue unmatched,2024-01-01 01:38:22,115680937.5,4,0,6,0,947,4,0,1623321432.42,501595076.99
48,2024-01-01 01:38:46,2024-01-01 01:38:48,Validating,2024-01-01 01:38:46,75799353.6,2,0,8,0,556,2,0,1177670027.13,334479616.6
48,2024-01-01 01:38:48,2024-01-01 01:38:48,Waiting in queue unmatched,2024-01-01 01:38:46,75799353.6,2,0,8,0,556,2,0,1177670027.13,334479616.6
49,2024-01-01 01:38:48,2024-01-01 01:38:50,Validating,2024-01-01 01:38:48,97284313.9,7,3,4,3,105,7,3,2581695486.0,0.0
49,2024-01-01 01:38:50,2024-01-01 01:38:50,Waiting in queue unmatched,2024-01-01 01:38:48,97284313.9,7,3,4,3,105,7,3,2581695486.0,0.0
50,2024-01-01 01:40:02,2024-01-01 01:40:04,Validating,2024-01-01 01:40:02,110019056.87,8,0,1,0,172,8,0,1171046846.05,662326857.64
50,2024-01-01 01:40:04,2024-01-01 01:40:04,Waiting in queue unmatched,2024-01-01 01:40:02,110019056.87,8,0,1,0,172,8,0,1171046846.05,662326857.64
51,2024-01-01 01:40:03,2024-01-01 01:40:05,Validating,2024-01-01 01:40:03,61651225.95,1,0,6,0,137,1,0,1345216711.35,855892148.96
52,2024-01-01 01:40:03,2024-01-01 01:40:05,Validating,2024-01-01 01:40:03,14027816.03,6,3,8,3,720,6,3,9580911314.0,0.0
51,2024-01-01 01:40:05,2024-01-01 01:40:05,Waiting in queue unmatched,2024-01-01 01:40:03,61651225.95,1,0,6,0,137,1,0,1345216711.35,855892148.96
52,2024-01-01 01:40:05,2024-01-01 01:40:05,Waiting in queue unmatched,2024-01-01 01:40:03,14027816.03,6,3,8,3,720,6,3,9580911314.0,0.0
53,2024-01-01 01:40:24,2024-01-01 01:40:26,Validating,2024-01-01 01:40:24,140389253.84,4,0,8,0,1089,4,0,1623321432.42,501595076.99
53,2024-01-01 01:40:26,2024-01-01 01:40:26,Waiting in queue unmatched,2024-01-01 01:40:24,140389253.84,4,0,8,0,1089,4,0,1623321432.42,501595076.99
54,2024-01-01 01:41:16,2024-01-01 01:41:18,Validating,2024-01-01 01:41:16,114949313.78,6,1,3,1,40,6,1,4127366543.0,0.0
54,2024-01-01 01:41:18,2024-01-01 01:41:18,Waiting in queue unmatched,2024-01-01 01:41:16,114949313.78,6,1,3,1,40,6,1,4127366543.0,0.0
55,2024-01-01 01:42:30,2024-01-01 01:42:32,Validating,2024-01-01 01:42:30,42161545.89,6,2,8,2,923,6,2,6380722491.0,0.0
55,2024-01-01 01:42:32,2024-01-01 01:42:32,Waiting in queue unmatched,2024-01-01 01:42:30,42161545.89,6,2,8,2,923,6,2,6380722491.0,0.0
56,2024-01-01 01:42:50,2024-01-01 01:42:52,Validating,2024-01-01 01:42:50,91700481.36,1,0,8,0,645,1,0,1345216711.35,855892148.96
56,2024-01-01 01:42:52,2024-01-01 01:42:52,Waiting in queue unmatched,2024-01-01 01:42:50,91700481.36,1,0,8,0,645,1,0,1345216711.35,855892148.96
57,2024-01-01 01:42:53,2024-01-01 01:42:55,Validating,2024-01-01 01:42:53,61329643.5,4,0,5,0,1099,4,0,1623321432.42,501595076.99
57,2024-01-01 01:42:55,2024-01-01 01:42:55,Waiting in queue unmatched,2024-01-01 01:42:53,61329643.5,4,0,5,0,1099,4,0,1623321432.42,501595076.99
58,2024-01-01 01:42:56,2024-01-01 01:42:58,Validating,2024-01-01 01:42:56,105426847.61,4,3,6,3,272,4,3,1280555961.0,0.0
40,2024-01-01 01:42:58,2024-01-01 01:43:00,Matching,2024-01-01 01:36:19,105426847.61,6,0,4,0,272,6,0,1159834611.39,1079250390.17
58,2024-01-01 01:42:58,2024-01-01 01:43:00,Matching,2024-01-01 01:42:56,105426847.61,4,3,6,3,272,4,3,1280555961.0,0.0
40,2024-01-01 01:43:00,2024-01-01 01:43:02,Checking balance and credit,2024-01-01 01:36:19,105426847.61,6,0,4,0,272,6,0,1159834611.39,1079250390.17
58,2024-01-01 01:43:00,2024-01-01 01:43:02,Checking balance and credit,2024-01-01 01:42:56,105426847.61,4,3,6,3,272,4,3,1280555961.0,0.0
40,2024-01-01 01:43:02,2024-01-01 01:43:04,Settling,2024-01-01 01:36:19,105426847.61,6,0,4,0,272,6,0,1159834611.39,1079250390.17
58,2024-01-01 01:43:02,2024-01-01 01:43:04,Settling,2024-01-01 01:42:56,105426847.61,4,3,6,3,272,4,3,1280555961.0,0.0
59,2024-01-01 01:43:26,2024-01-01 01:43:28,Validating,2024-01-01 01:43:26,43134466.49,1,0,5,0,1022,1,0,1345216711.35,855892148.96
59,2024-01-01 01:43:28,2024-01-01 01:43:28,Waiting in queue unmatched,2024-01-01 01:43:26,43134466.49,1,0,5,0,1022,1,0,1345216711.35,855892148.96
60,2024-01-01 01:43:44,2024-01-01 01:43:46,Validating,2024-01-01 01:43:44,80447641.7,6,3,3,3,1190,6,3,9580911314.0,0.0
60,2024-01-01 01:43:46,2024-01-01 01:43:46,Waiting in queue unmatched,2024-01-01 01:43:44,80447641.7,6,3,3,3,1190,6,3,9580911314.0,0.0
61,2024-01-01 01:43:52,2024-01-01 01:43:54,Validating,2024-01-01 01:43:52,78204539.39,1,0,5,0,886,1,0,1345216711.35,855892148.96
61,2024-01-01 01:43:54,2024-01-01 01:43:54,Waiting in queue unmatched,2024-01-01 01:43:52,78204539.39,1,0,5,0,886,1,0,1345216711.35,855892148.96
62,2024-01-01 01:44:43,2024-01-01 01:44:45,Validating,2024-01-01 01:44:43,149173559.24,5,0,1,0,510,5,0,1697498461.28,1555016912.88
62,2024-01-01 01:44:45,2024-01-01 01:44:45,Waiting in queue unmatched,2024-01-01 01:44:43,149173559.24,5,0,1,0,510,5,0,1697498461.28,1555016912.88
63,2024-01-01 01:44:56,2024-01-01 01:44:58,Validating,2024-01-01 01:44:56,42825758.32,5,0,6,0,618,5,0,1697498461.28,1555016912.88
63,2024-01-01 01:44:58,2024-01-01 01:44:58,Waiting in queue unmatched,2024-01-01 01:44:56,42825758.32,5,0,6,0,618,5,0,1697498461.28,1555016912.88
64,2024-01-01 01:45:05,2024-01-01 01:45:07,Validating,2024-01-01 01:45:05,127426789.22,4,0,8,0,664,4,0,1623321432.42,501595076.99
64,2024-01-01 01:45:07,2024-01-01 01:45:07,Waiting in queue unmatched,2024-01-01 01:45:05,127426789.22,4,0,8,0,664,4,0,1623321432.42,501595076.99
65,2024-01-01 01:45:15,2024-01-01 01:45:17,Validating,2024-01-01 01:45:15,8479202.86,1,1,7,1,939,1,1,441950231.0,0.0
65,2024-01-01 01:45:17,2024-01-01 01:45:17,Waiting in queue unmatched,2024-01-01 01:45:15,8479202.86,1,1,7,1,939,1,1,441950231.0,0.0
66,2024-01-01 01:45:17,2024-01-01 01:45:19,Validating,2024-01-01 01:45:17,156831740.47,5,0,2,0,450,5,0,1697498461.28,1555016912.88
66,2024-01-01 01:45:19,2024-01-01 01:45:19,Waiting in queue unmatched,2024-01-01 01:45:17,156831740.47,5,0,2,0,450,5,0,1697498461.28,1555016912.88
67,2024-01-01 01:46:00,2024-01-01 01:46:02,Validating,2024-01-01 01:46:00,94519407.56,8,0,6,0,693,8,0,1171046846.05,662326857.64
67,2024-01-01 01:46:02,2024-01-01 01:46:02,Waiting in queue unmatched,2024-01-01 01:46:00,94519407.56,8,0,6,0,693,8,0,1171046846.05,662326857.64
68,2024-01-01 01:46:57,2024-01-01 01:46:59,Validating,2024-01-01 01:46:57,8370077.56,1,3,7,3,1060,1,3,4207091960.0,0.0
68,2024-01-01 01:46:59,2024-01-01 01:46:59,Waiting in queue unmatched,2024-01-01 01:46:57,8370077.56,1,3,7,3,1060,1,3,4207091960.0,0.0
69,2024-01-01 01:46:58,2024-01-01 01:47:00,Validating,2024-01-01 01:46:58,72417177.25,6,0,4,0,1235,6,0,1159834611.39,1079250390.17
69,2024-01-01 01:47:00,2024-01-01 01:47:00,Waiting in queue unmatched,2024-01-01 01:46:58,72417177.25,6,0,4,0,1235,6,0,1159834611.39,1079250390.17
70,2024-01-01 01:47:30,2024-01-01 01:47:32,Validating,2024-01-01 01:47:30,34468400.44,6,4,7,4,1106,6,4,9332644111.0,0.0
70,2024-01-01 01:47:32,2024-01-01 01:47:32,Waiting in queue unmatched,2024-01-01 01:47:30,34468400.44,6,4,7,4,1106,6,4,9332644111.0,0.0
71,2024-01-01 01:47:39,2024-01-01 01:47:41,Validating,2024-01-01 01:47:39,18929352.88,8,0,6,0,1116,8,0,1171046846.05,662326857.64
71,2024-01-01 01:47:41,2024-01-01 01:47:41,Waiting in queue unmatched,2024-01-01 01:47:39,18929352.88,8,0,6,0,1116,8,0,1171046846.05,662326857.64
72,2024-01-01 01:47:41,2024-01-01 01:47:43,Validating,2024-01-01 01:47:41,32354148.97,4,0,2,0,369,4,0,1623321432.42,501595076.99
